2017
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;15;14;6;2;6;6;8;5;4;7;4;6;83
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;15;6;9;7;11;10;13;17;7;8;8;6;117
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);0;0;0;0;0;0;2;0;0;0;0;0;2
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;1;0;1;4;1;1;1;0;0;0;0;1;10
Nº DE ARMAS DE FOGO APREENDIDAS;2;2;5;5;5;2;1;1;1;0;3;5;32
Nº DE FLAGRANTES LAVRADOS;28;16;22;25;19;17;30;30;19;15;14;21;256
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;4;2;2;2;3;2;4;3;0;4;3;0;29
Nº DE INFRATORES APREENDIDOS POR MANDADO;0;1;1;1;2;0;1;8;1;3;3;0;21
Nº DE PESSOAS PRESAS EM FLAGRANTE;40;20;29;27;21;20;31;38;23;15;18;23;305
Nº DE PESSOAS PRESAS POR MANDADO;29;23;27;15;15;22;24;25;15;25;12;9;241
Nº DE PRISÕES EFETUADAS;57;39;49;40;34;39;54;55;34;40;26;30;497
Nº DE VEÍCULOS RECUPERADOS;7;10;11;19;12;12;6;8;13;4;7;10;119
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;165;160;182;168;196;157;149;167;142;129;124;123;1.862

